time_seconds,resolution_width,resolution_height,bitrate_kbps,buffer_seconds,network_phase,network_bandwidth_mbps
0,640.0,360.0,1034.0,2.4,phase1_high,20.0
1,640.0,360.0,1034.0,3.1222222222222222,phase1_high,20.0
2,640.0,360.0,1034.0,3.844444444444444,phase1_high,20.0
3,640.0,360.0,1034.0,4.566666666666666,phase1_high,20.0
4,640.0,360.0,1034.0,5.288888888888889,phase1_high,20.0
5,640.0,360.0,1034.0,6.011111111111111,phase1_high,20.0
6,640.0,360.0,1034.0,6.733333333333333,phase1_high,20.0
7,640.0,360.0,1034.0,7.455555555555556,phase1_high,20.0
8,640.0,360.0,1034.0,8.177777777777777,phase1_high,20.0
9,854.0,480.0,1756.0,8.9,phase1_high,20.0
10,854.0,480.0,1756.0,9.48,phase1_high,20.0
11,854.0,480.0,1756.0,10.06,phase1_high,20.0
12,854.0,480.0,1756.0,10.64,phase1_high,20.0
13,854.0,480.0,1756.0,11.219999999999999,phase1_high,20.0
14,854.0,480.0,1756.0,11.799999999999999,phase1_high,20.0
15,854.0,480.0,1756.0,12.379999999999999,phase1_high,20.0
16,854.0,480.0,1756.0,12.959999999999999,phase1_high,20.0
17,854.0,480.0,1756.0,13.54,phase1_high,20.0
18,854.0,480.0,1756.0,14.12,phase1_high,20.0
19,1280.0,720.0,3234.0,14.7,phase1_high,20.0
20,1280.0,720.0,3234.0,15.25,phase1_high,20.0
21,1280.0,720.0,3234.0,15.799999999999999,phase1_high,20.0
22,1280.0,720.0,3234.0,16.35,phase1_high,20.0
23,1280.0,720.0,3234.0,16.9,phase1_high,20.0
24,1280.0,720.0,3234.0,17.45,phase1_high,20.0
25,1280.0,720.0,3234.0,18.0,phase1_high,20.0
26,1280.0,720.0,3234.0,18.55,phase1_high,20.0
27,1280.0,720.0,3234.0,19.1,phase1_high,20.0
28,1280.0,720.0,3234.0,19.650000000000002,phase1_high,20.0
29,1280.0,720.0,3234.0,20.2,phase1_high,20.0
30,1280.0,720.0,3234.0,20.75,phase1_high,20.0
31,1280.0,720.0,3987.0,21.3,phase1_high,20.0
32,1280.0,720.0,3987.0,21.8,phase1_high,20.0
33,1280.0,720.0,3987.0,22.3,phase1_high,20.0
34,1280.0,720.0,3987.0,22.8,phase1_high,20.0
35,1280.0,720.0,3987.0,23.3,phase1_high,20.0
36,1280.0,720.0,3987.0,23.8,phase1_high,20.0
37,1280.0,720.0,3987.0,24.3,phase1_high,20.0
38,1280.0,720.0,3987.0,24.8,phase1_high,20.0
39,1280.0,720.0,3987.0,25.3,phase1_high,20.0
40,1280.0,720.0,3987.0,25.8,phase1_high,20.0
41,1280.0,720.0,3987.0,26.3,phase1_high,20.0
42,1280.0,720.0,4123.0,26.8,phase1_high,20.0
43,1280.0,720.0,4123.0,27.0,phase1_high,20.0
44,1280.0,720.0,4123.0,27.2,phase1_high,20.0
45,1280.0,720.0,4056.0,27.4,phase2_low,1.5
46,1280.0,720.0,4056.0,26.81111111111111,phase2_low,1.5
47,1280.0,720.0,4056.0,26.22222222222222,phase2_low,1.5
48,1280.0,720.0,4056.0,25.633333333333333,phase2_low,1.5
49,1280.0,720.0,4056.0,25.044444444444444,phase2_low,1.5
50,1280.0,720.0,4056.0,24.455555555555556,phase2_low,1.5
51,1280.0,720.0,4056.0,23.866666666666667,phase2_low,1.5
52,1280.0,720.0,4056.0,23.27777777777778,phase2_low,1.5
53,1280.0,720.0,4056.0,22.68888888888889,phase2_low,1.5
54,1280.0,720.0,2876.0,22.1,phase2_low,1.5
55,1280.0,720.0,2876.0,21.342857142857145,phase2_low,1.5
56,1280.0,720.0,2876.0,20.585714285714285,phase2_low,1.5
57,1280.0,720.0,2876.0,19.82857142857143,phase2_low,1.5
58,1280.0,720.0,2876.0,19.071428571428573,phase2_low,1.5
59,1280.0,720.0,2876.0,18.314285714285717,phase2_low,1.5
60,1280.0,720.0,2876.0,17.557142857142857,phase2_low,1.5
61,854.0,480.0,1456.0,16.8,phase2_low,1.5
62,854.0,480.0,1456.0,16.177777777777777,phase2_low,1.5
63,854.0,480.0,1456.0,15.555555555555555,phase2_low,1.5
64,854.0,480.0,1456.0,14.933333333333334,phase2_low,1.5
65,854.0,480.0,1456.0,14.311111111111112,phase2_low,1.5
66,854.0,480.0,1456.0,13.688888888888888,phase2_low,1.5
67,854.0,480.0,1456.0,13.066666666666666,phase2_low,1.5
68,854.0,480.0,1456.0,12.444444444444445,phase2_low,1.5
69,854.0,480.0,1456.0,11.822222222222223,phase2_low,1.5
70,854.0,480.0,1089.0,11.2,phase2_low,1.5
71,854.0,480.0,1089.0,10.722222222222221,phase2_low,1.5
72,854.0,480.0,1089.0,10.244444444444444,phase2_low,1.5
73,854.0,480.0,1089.0,9.766666666666666,phase2_low,1.5
74,854.0,480.0,1089.0,9.288888888888888,phase2_low,1.5
75,854.0,480.0,1089.0,8.811111111111112,phase2_low,1.5
76,854.0,480.0,1089.0,8.333333333333334,phase2_low,1.5
77,854.0,480.0,1089.0,7.855555555555556,phase2_low,1.5
78,854.0,480.0,1089.0,7.377777777777778,phase2_low,1.5
79,640.0,360.0,812.0,6.9,phase2_low,1.5
80,640.0,360.0,812.0,6.611111111111112,phase2_low,1.5
81,640.0,360.0,812.0,6.322222222222223,phase2_low,1.5
82,640.0,360.0,812.0,6.033333333333333,phase2_low,1.5
83,640.0,360.0,812.0,5.7444444444444445,phase2_low,1.5
84,640.0,360.0,812.0,5.455555555555556,phase2_low,1.5
85,640.0,360.0,812.0,5.166666666666666,phase2_low,1.5
86,640.0,360.0,812.0,4.877777777777777,phase2_low,1.5
87,640.0,360.0,812.0,4.588888888888889,phase2_low,1.5
88,640.0,360.0,756.0,4.3,phase2_low,1.5
89,640.0,360.0,756.0,4.699999999999999,phase2_low,1.5
90,640.0,360.0,823.0,5.1,phase3_high,20.0
91,640.0,360.0,823.0,5.366666666666666,phase3_high,20.0
92,640.0,360.0,823.0,5.633333333333333,phase3_high,20.0
93,640.0,360.0,823.0,5.9,phase3_high,20.0
94,640.0,360.0,823.0,6.166666666666667,phase3_high,20.0
95,640.0,360.0,823.0,6.433333333333334,phase3_high,20.0
96,640.0,360.0,1012.0,6.7,phase3_high,20.0
97,640.0,360.0,1012.0,7.111111111111112,phase3_high,20.0
98,640.0,360.0,1012.0,7.522222222222222,phase3_high,20.0
99,640.0,360.0,1012.0,7.933333333333334,phase3_high,20.0
100,640.0,360.0,1012.0,8.344444444444445,phase3_high,20.0
101,640.0,360.0,1012.0,8.755555555555556,phase3_high,20.0
102,640.0,360.0,1012.0,9.166666666666668,phase3_high,20.0
103,640.0,360.0,1012.0,9.577777777777778,phase3_high,20.0
104,640.0,360.0,1012.0,9.988888888888889,phase3_high,20.0
105,854.0,480.0,1534.0,10.4,phase3_high,20.0
106,854.0,480.0,1534.0,10.89090909090909,phase3_high,20.0
107,854.0,480.0,1534.0,11.381818181818183,phase3_high,20.0
108,854.0,480.0,1534.0,11.872727272727273,phase3_high,20.0
109,854.0,480.0,1534.0,12.363636363636363,phase3_high,20.0
110,854.0,480.0,1534.0,12.854545454545455,phase3_high,20.0
111,854.0,480.0,1534.0,13.345454545454546,phase3_high,20.0
112,854.0,480.0,1534.0,13.836363636363638,phase3_high,20.0
113,854.0,480.0,1534.0,14.327272727272728,phase3_high,20.0
114,854.0,480.0,1534.0,14.818181818181818,phase3_high,20.0
115,854.0,480.0,1534.0,15.30909090909091,phase3_high,20.0
116,854.0,480.0,2189.0,15.8,phase3_high,20.0
117,854.0,480.0,2189.0,16.327272727272728,phase3_high,20.0
118,854.0,480.0,2189.0,16.854545454545455,phase3_high,20.0
119,854.0,480.0,2189.0,17.381818181818183,phase3_high,20.0
120,854.0,480.0,2189.0,17.90909090909091,phase3_high,20.0
121,854.0,480.0,2189.0,18.436363636363637,phase3_high,20.0
122,854.0,480.0,2189.0,18.963636363636365,phase3_high,20.0
123,854.0,480.0,2189.0,19.490909090909092,phase3_high,20.0
124,854.0,480.0,2189.0,20.01818181818182,phase3_high,20.0
125,854.0,480.0,2189.0,20.545454545454547,phase3_high,20.0
126,854.0,480.0,2189.0,21.072727272727274,phase3_high,20.0
127,1280.0,720.0,2987.0,21.6,phase3_high,20.0
128,1280.0,720.0,2987.0,22.1125,phase3_high,20.0
129,1280.0,720.0,2987.0,22.625,phase3_high,20.0
130,1280.0,720.0,2987.0,23.1375,phase3_high,20.0
131,1280.0,720.0,2987.0,23.65,phase3_high,20.0
132,1280.0,720.0,2987.0,24.1625,phase3_high,20.0
133,1280.0,720.0,2987.0,24.675,phase3_high,20.0
134,1280.0,720.0,2987.0,25.1875,phase3_high,20.0
135,1280.0,720.0,3456.0,25.7,phase3_high,20.0
